Txn Hash,Method,Block,Age,From,To,Value,Txn Fee
0xf3007a601444a3e7904d580aaec5f88713d3428fae6e2a54b1a184c6401ca1b0,Flush Forwarder ...,19371022,6 mins ago,Bitstamp 1,Bitstamp 2,0,0.00783568
0x669e29f4dd457edff02fe69926fcdb428b345fae0359e222ce4d132fc432c31e,Flush Forwarder ...,19371022,6 mins ago,Bitstamp 1,Bitstamp 2,0,0.00652416
0x1b7884a7182c31a0daa578dc80d5eb7cc014dcf36dd369a7c323bf2356bbe93a,Sell To Uniswap,19371022,6 mins ago,0x05e1f891...64CdE6BEa,0x: Exchange Proxy,0.117654343,0.01399999
0x4166bea41dd88188e819b95e2b99abdf1cab7f57c49a558cbafce769e47dca00,Transfer,19371022,6 mins ago,0xb7a7e83D...BE7084BfC,0x9b94c5Ef...242D5edE3,0.390905793,0.00242097
0x8c304e584bbe3b25d8a317bd75a19342e74a21c38e7594e5bbccfa56196e0165,Approve,19371022,6 mins ago,0x9a309A77...Cf939a00C,0xc4342686...3BD6eC49A,0,0.00541867
0xc8d9608a92ce1073754509ec38ccf373b58afedf25e3f2f070cea3a5a9bed7f6,Transfer*,19371022,6 mins ago,0xD1Edb891...7C37FbBEc,0xf70da978...8dfA3dbEF,0.005770063,0.0024255
0x4a4a451ee9061c5c267c93a9700a20f9dba76ad79a51d0dd9d508227ecb3c511,Approve,19371022,6 mins ago,0x0CF72304...31E090ea2,0x1258D60B...FCFb7e870,0,0.00543606
0xaee989144da52fa171c16eca90700e02232cc341456bd52332ebc58943996121,Sell To Uniswap,19371022,6 mins ago,0xeC307fED...cE94Fd311,0x: Exchange Proxy,0,0.01314216
0x27a8220627b78164696e70576d453f4ad6a15be37ac479cb0bc52e9fc2a9d53c,Mint,19371022,6 mins ago,0xe141062F...AdAF38fFd,Compound: cETH Token,1,0.013867
0x46fb64ce4589f31de19afc90d637423e7db895479e795a4f46dca488656863f5,Execute,19371022,6 mins ago,0xc05f1F8D...Dfcf0643C,Uniswap: Universal Router,0.27,0.01673087
0x951153d3a8cf2c8bf22e4c817b5ad70184b9c1122f1ad231d76555bebcd60c37,0x415565b0,19371022,6 mins ago,0x026132Ed...137B11F2E,0x: Exchange Proxy,2.784580663,0.02825177
0x0220ed3e31272e047bb12166a0813ed101346ed4e708e9f9d4a352d315af2a79,Transfer,19371022,6 mins ago,0xfcecAF7C...0AF062752,Orbiter Finance: Bridge 2,0.025932,0.00242091
0xa8e6045019c2c25750ca9f3a1febf94e97f32ded9d189e069654ba2419ef48eb,Transfer,19371022,6 mins ago,0xE5957D02...2439Eb871,0x2a417B80...6b6678b4B,0.007797658,0.00242091
0x686f61d21d411b7c00c8b96b91b0c8caf1dd0813906d6ac7f33bfcc18310aa97,Transfer,19371022,6 mins ago,jesucrypto89.eth,0xdf382d58...eD5E92f6c,0.3,0.00242091
0x8ff5683ebc881b698276460f41e6647d2e54e998ae14fef6ea018792f1164e16,Transfer,19371022,6 mins ago,0x5e5Ccf78...86c637535,0xdF79b12D...a2f360877,0.1,0.00242091
0x80e3d7318bf6cf452fc3a5eea7547b61f84d35e148ace880c338b5c82ab62e3c,Set Approval For...,19371022,6 mins ago,0x68b733fb...8c4d58e40,Admin One: ADMIT Token,0,0.00348788
0xdd6343ac7d406dac8edf7eb75a85f4f517de935f3e061df23295181cb983faf1,Transfer,19371022,6 mins ago,0xE5b03C2f...21a3CDaA0,0xA9f949C0...12A132575,0.032,0.00242183
0xbb4502d3a2b7239ac145fa7a3378f774e7cca763b7a8be94d246eb87ce1b4638,Transfer,19371022,6 mins ago,mercuryo,Tether: USDT Stablecoin,0,0.00728602
0xa7805e6e43939fb1f3cce455e1c50043d7079f676efc5e33418bba609010a2e9,Transfer,19371022,6 mins ago,Newton,0x983a12D9...2c6A7Ee05,0.033086365,0.00242204
0x597f6d671978ff0a16f29b89b57e2589f902ddb8cb6027d552a15c1a3712a6ad,Approve,19371022,6 mins ago,0xEa17786c...4d5c4e0B8,0x8A0a9b66...A22597623,0,0.00540843
0x1484935ab23916300b86510da5b077a1c233f8dd3a175b957dca267524dda963,Approve,19371022,6 mins ago,0x23Cecc05...A0a72e335,Tether: USDT Stablecoin,0,0.00563
0x7a6c1e11e7348ce97d2babd2d59de5ea2bbb16a869db02b54ba8221fe0feb74e,Approve,19371022,6 mins ago,0xf0D90267...9a6581bbD,Shiba Inu: SHIB Token,0,0.0053666
0x901099b672387ef7b84c65b4aa56f948b53ac41012331b3ae94f2ef724ba88f5,Transfer,19371022,6 mins ago,vicjc.eth,0x09290c41...6101ADb91,0.15,0.00242225
